column_name,dtype,n_missing,pct_missing,n_unique,example_values,proposed_role
LAB,str,0,0.0,80,Bajrami; Nobre; Stanley,
COUNTRY_CODE,str,0,0.0,68,ALB; ARG; AUS,grouping/country - ISO-3 country identifier for multi-level model grouping
COUNTRY_NAME,str,0,0.0,68,Albania; Argentina; Australia,
COUNTRY_CNCY,str,0,0.0,54,ALL; ARS; AUD,
COUNTRY_CNCY_RATE,str,0,0.0,768,"0,009204000; 0,009249000; 0,009250000",
COUNTRY_CONT,str,0,0.0,6,Europe; Latin America; Australia/Oceania,
Start,str,0,0.0,41311,13/02/2023 12:43; 13/02/2023 13:03; 13/02/2023 13:05,
End,str,0,0.0,42871,13/02/2023 12:48; 13/02/2023 13:20; 13/02/2023 13:16,
DATE,str,0,0.0,210,2023-02-13; 2023-02-14; 2023-02-15,
Response_TYPE,int64,0,0.0,1,0,
Progress,int64,0,0.0,56,100; 25; 77,
Duration,int64,0,0.0,6990,276; 1040; 926,
Recorded,str,0,0.0,42726,13/02/2023 12:48; 13/02/2023 13:20; 13/02/2023 13:16,
ID_QUALTRICS,str,0,0.0,71922,R_3MhQ8hLwbWU3gSN; R_1dnWoydDZ1TGRrl; R_2bQ5rmpztSkjAzu,respondent ID - unique identifier per survey response
ID_POLLCMPNY,str,6195,8.61,65727,235904587381854.00; 235905781188692.00; 235905920300151.00,
UserLanguage,str,0,0.0,26,EN; BG; PT,
CONSENT,int64,0,0.0,1,1,
DEM_GENDER,float64,1311,1.82,3,1.0; 0.0; 2.0,demographic control - gender (1=male 2=female 3=other 4=prefer not to say)
DEM_GENDER_male,float64,2198,3.06,2,1.0; 0.0,
DEM_GENDER_2_TEXT,str,3334,4.64,767,"-99; Briliana ; Ai, Mashkull, Heteroseksual",
DEM_AGE,float64,208,0.29,77,26.0; 37.0; 51.0,demographic control - respondent age in years
DEM_AGEGRP,str,208,0.29,5,18-29; 30-39; 50-59,"demographic control - age group category (e.g. 18-29, 30-39)"
DEM_AGEGRP_colltop2,str,208,0.29,4,18-29; 30-39; 50+,
DEM_AGEGRP_colltop3,str,208,0.29,3,18-29; 30-39; 40+,
DEM_AGEGRP_collbot2,str,208,0.29,4,18-39; 50-59; 40-49,
DEM_EDU,float64,39,0.05,4,4.0; 3.0; 1.0,demographic control - education level
DEM_EDU_uni,float64,39,0.05,2,1.0; 0.0,
DEM_EDU_collbot2,float64,39,0.05,3,3.0; 2.0; 1.0,
DEM_EDU_collbot3,float64,39,0.05,2,2.0; 1.0,
ATTCHECK_NUMBER,int64,0,0.0,4,213; 23; 214,
SCIINFO_newspapersmags,float64,117,0.16,7,5.0; 2.0; 6.0,predictor - frequency of science info from newspapers/magazines (1-5 Likert)
SCIINFO_tvradio,float64,285,0.4,7,5.0; 3.0; 7.0,predictor - frequency of science info from TV/radio (1-5 Likert)
